loc,misses,hits,total,ratio
19,23,8,31,0.34782608695652173
75,53,32,85,0.6037735849056604
149,91,138,229,1.5164835164835164
177,124,152,276,1.2258064516129032
213,150,162,312,1.08
216,155,166,321,1.070967741935484
240,156,180,336,1.1538461538461537
241,157,181,338,1.1528662420382165
253,170,189,359,1.111764705882353
525,430,583,1013,1.3558139534883722
552,452,611,1063,1.3517699115044248
586,471,641,1112,1.3609341825902335
656,475,818,1293,1.7221052631578948
668,489,825,1314,1.687116564417178
787,593,936,1529,1.5784148397976392
922,765,1428,2193,1.8666666666666667
1241,999,1742,2741,1.7437437437437437
1283,1027,1773,2800,1.7263875365141188
1288,1034,1780,2814,1.7214700193423598
1322,1068,1846,2914,1.7284644194756553
1399,1083,1987,3070,1.83471837488458
1401,1088,1992,3080,1.8308823529411764
2327,1619,3383,5002,2.089561457689932
2336,1628,3401,5029,2.089066339066339
2358,1632,3403,5035,2.085171568627451
2390,1678,3484,5162,2.0762812872467222
2400,1683,3499,5182,2.079025549613785
2492,1747,3597,5344,2.058958214081282
2543,1766,3633,5399,2.0571913929784826
2634,1843,3736,5579,2.0271296798697773
2679,1889,3782,5671,2.0021175224986765
2762,1960,3891,5851,1.985204081632653
2811,1991,3961,5952,1.9894525364138624
2876,2025,4001,6026,1.9758024691358025
3161,2240,4386,6626,1.9580357142857143
3457,2472,4899,7371,1.9817961165048543
3573,2507,5010,7517,1.998404467491025
3601,2539,5039,7578,1.9846396218983853
3812,2681,5429,8110,2.024990675121223
3865,2709,5475,8184,2.0210409745293467
3884,2721,5488,8209,2.0169055494303563
4068,2878,5737,8615,1.9933981931897151
4116,2902,5780,8682,1.9917298414886286
4119,2902,5789,8691,1.9948311509303929
4310,3023,5947,8970,1.9672510750909693
4342,3049,5970,9019,1.9580190226303706
4376,3086,6006,9092,1.9462086843810757
4389,3099,6024,9123,1.9438528557599226
6266,3491,6951,10442,1.99112002291607
6646,3697,7461,11158,2.0181228022721127
6650,3698,7469,11167,2.019740400216333
6661,3708,7488,11196,2.0194174757281553
6677,3719,7503,11222,2.01747781661737
6685,3725,7506,11231,2.01503355704698
6773,3773,7578,11351,2.0084813146037637
7368,4278,8464,12742,1.978494623655914
7683,4473,8836,13309,1.9754080035770176
7739,4516,8925,13441,1.9763064658990257
8674,5021,9840,14861,1.9597689703246366
8865,5164,10137,15301,1.9630131680867544
8974,5254,10392,15646,1.9779215835553863
9002,5282,10431,15713,1.974820143884892
9029,5302,10451,15753,1.9711429649188985
9200,5382,10599,15981,1.9693422519509476
9305,5511,10791,16302,1.9580838323353293
9359,5542,10857,16399,1.9590400577408877
9444,5611,11018,16629,1.9636428444127607
10012,6102,11911,18013,1.9519829564077351
10212,6241,12226,18467,1.9589809325428618
10219,6243,12226,18469,1.9583533557584494
10233,6252,12243,18495,1.9582533589251438
10282,6287,12295,18582,1.9556227135358677
10579,6642,12928,19570,1.9464016862390847
10758,6809,13164,19973,1.933323542370392
10793,6820,13182,20002,1.9328445747800587
10841,6832,13257,20089,1.9404274004683841
10859,6842,13274,20116,1.9400760011692488
10890,6862,13313,20175,1.940104925677645
11004,6912,13414,20326,1.9406828703703705
11071,6949,13535,20484,1.9477622679522233
11097,6970,13571,20541,1.9470588235294117
11131,6993,13610,20603,1.9462319462319462
11274,7082,13782,20864,1.946060434905394
11341,7125,13840,20965,1.942456140350877
11471,7201,14033,21234,1.948757117067074
11542,7252,14154,21406,1.9517374517374517
11616,7315,14226,21541,1.944771018455229
11617,7315,14228,21543,1.9450444292549556
11629,7334,14238,21572,1.9413689664575948
11972,7453,14504,21957,1.9460619884610224
12503,7669,14896,22565,1.9423653670621985
12556,7709,14968,22677,1.941626670125827
12568,7723,14981,22704,1.9397902369545514
12630,7742,15026,22768,1.9408421596486696
12664,7778,15063,22841,1.936616096682952
12698,7809,15112,22921,1.935202970930977
12766,7809,15112,22921,1.935202970930977
12817,7851,15230,23081,1.9398802700292956
12827,7855,15242,23097,1.9404201145767028
12846,7870,15252,23122,1.937992376111817
12881,7886,15301,23187,1.9402739031194522
12925,7920,15458,23378,1.9517676767676768
12940,7928,15476,23404,1.9520686175580222
12967,7958,15516,23474,1.9497361146016587
13107,8004,15598,23602,1.948775612193903
13151,8023,15612,23635,1.9459055216253272
13355,8199,15985,24184,1.9496280034150506
13417,8238,16072,24310,1.9509589706239379
13447,8259,16098,24357,1.949146385760988
13682,8425,16467,24892,1.9545400593471811
13717,8443,16537,24980,1.9586639819969205
13780,8510,16680,25190,1.9600470035252644
14070,8573,16884,25457,1.9694389361950309
14102,8591,16938,25529,1.9715981841461996
14210,8700,17166,25866,1.973103448275862
14466,8780,17272,26052,1.9671981776765375
14583,8876,17666,26542,1.9903109508787742
14598,8876,17666,26542,1.9903109508787742
14687,8919,17769,26688,1.9922637066935756
14780,8997,17880,26877,1.9873291097032344
14886,9064,17996,27060,1.9854368932038835
14927,9102,18045,27147,1.9825313117996044
15003,9153,18315,27468,2.000983284169125
15019,9153,18341,27494,2.00382388287993
15087,9211,18461,27672,2.0042340679622193
15121,9221,18474,27695,2.003470339442577
15134,9232,18483,27715,2.0020580589254764
15188,9302,18603,27905,1.9998924962373683
15486,9409,19346,28755,2.056116484217239
15520,9426,19388,28814,2.0568639932102695
15551,9458,19440,28898,2.0554028335800383
15581,9492,19466,28958,2.050779603876949
15669,9514,19558,29072,2.055707378599958
16004,9739,19984,29723,2.0519560529828524
16113,9814,20116,29930,2.0497248828204606
16155,9849,20170,30019,2.0479236470707685
16263,9926,20309,30235,2.046040701188797
16282,9933,20317,30250,2.0454042081949058
16325,9957,20352,30309,2.0439891533594454
16366,9975,20372,30347,2.0423057644110276
16373,9976,20376,30352,2.042502004811548
16412,10025,20460,30485,2.0408977556109726
16475,10063,20526,30589,2.0397495776607375
16591,10121,20690,30811,2.044264400750914
16618,10134,20714,30848,2.044010262482731
16822,10232,20971,31203,2.049550430023456
16845,10248,20999,31247,2.0490827478532396
16912,10302,21111,31413,2.049213744903902
17065,10472,21433,31905,2.046695951107716
17068,10474,21439,31913,2.0468779835783844
17113,10482,21451,31933,2.046460599122305
17160,10495,21496,31991,2.048213434969033
17179,10499,21533,32032,2.0509572340222877
17188,10506,21547,32053,2.050923281934133
17251,10540,21642,32182,2.0533206831119544
17262,10560,21666,32226,2.0517045454545455
17269,10566,21668,32234,2.050728752602688
17325,10624,21735,32359,2.045839608433735
17353,10647,21763,32410,2.0440499671268904
17386,10660,21787,32447,2.0438086303939964
17508,10740,21894,32634,2.0385474860335195
17614,10826,22157,32983,2.0466469610197673
17702,10909,22342,33251,2.0480337336144467
17737,10929,22391,33320,2.0487693293073472
17738,10929,22393,33322,2.0489523286668496
17742,10929,22402,33331,2.04977582578461
17774,10958,22430,33388,2.0469063697755066
17802,10970,22453,33423,2.046763901549681
17836,10985,22484,33469,2.0467910787437416
17867,10997,22508,33505,2.046740020005456
17937,11051,22605,33656,2.045516242873948
17943,11057,22611,33668,2.0449489011485937
17991,11079,22708,33787,2.0496434696272225
18323,11264,23145,34409,2.054776278409091
18346,11271,23153,34424,2.0542099192618224
18364,11281,23163,34444,2.053275418845847
18739,11281,23163,34444,2.053275418845847
18745,11284,23174,34458,2.0537043601559732
19033,11411,23614,35025,2.069406712820962
19048,11421,23627,35048,2.068733035636109
20871,12555,26208,38763,2.0874551971326163
20873,12559,26210,38769,2.086949597897922
20904,12584,26255,38839,2.0863795295613476
20919,12593,26268,38861,2.0859207496228063
20967,12630,26300,38930,2.0823436262866193
21383,12828,26757,39585,2.085827876520112
21404,12841,26766,39607,2.084417101471848
21529,12899,26949,39848,2.08923172338941
21955,13037,27295,40332,2.093656516069648
21964,13047,27301,40348,2.092511688510769
21997,13057,27325,40382,2.0927471854177835
22003,13064,27327,40391,2.091778934476424
22119,13103,27413,40516,2.0921163092421584
22135,13105,27418,40523,2.0921785578023657
22175,13127,27471,40598,2.0927096823341205
22209,13160,27506,40666,2.0901215805471125
22220,13167,27521,40688,2.090149616465406
22385,13260,27676,40936,2.0871794871794873
22390,13268,27682,40950,2.086373228821224
22407,13278,27696,40974,2.0858563036601896
22428,13301,27742,41043,2.0857078415156756
22487,13362,27872,41234,2.0859152821433917
22638,13448,28035,41483,2.0846966091612136
22711,13479,28262,41741,2.0967430818309962
22822,13562,28436,41998,2.0967408936734997
23269,13743,29294,43037,2.1315578840136795
23380,13793,29422,43215,2.1331109983324876
23410,13823,29453,43276,2.1307241553931853
23435,13840,29478,43318,2.1299132947976878
23479,13849,29582,43431,2.1360387031554624
23756,14034,30105,44139,2.145147498931167
23779,14046,30126,44172,2.1448099102947458
24134,14206,30331,44537,2.135083767422216
24151,14217,30347,44564,2.134557220229303
24201,14252,30394,44646,2.1326129666011786
24802,14781,31447,46228,2.127528583992964
24930,14916,31651,46567,2.121949584338965
24984,14961,31743,46704,2.1217164628032887
25078,15020,31860,46880,2.1211717709720372
25131,15076,31961,47037,2.1199920403289996
25631,15327,32809,48136,2.1406015528152933
25652,15348,32834,48182,2.13930153765963
25678,15358,32877,48235,2.1407084255762467
25700,15375,32905,48280,2.1401626016260162
25713,15383,32918,48301,2.139894688942339
25748,15407,32950,48357,2.1386382813007074
25800,15471,33048,48519,2.136125654450262
25821,15481,33070,48551,2.136166914282023
25826,15481,33070,48551,2.136166914282023
26011,15501,34128,49629,2.2016644087478228
26039,15518,34155,49673,2.2009923959273103
27854,16306,35930,52236,2.203483380350791
27862,16317,35937,52254,2.202426916712631
27890,16334,35985,52319,2.203073343945145
27920,16358,36023,52381,2.202164078738232
27925,16375,36035,52410,2.200610687022901
27989,16401,36129,52530,2.2028534845436254
27994,16404,36134,52538,2.2027554255059743
28075,16420,36173,52593,2.2029841656516442
28190,16506,36307,52813,2.199624379013692
28217,16516,36394,52910,2.203560184063938
28271,16565,36479,53044,2.202173256866888
28277,16577,36489,53066,2.201182361102733
28320,16597,36518,53115,2.2002771585226246
28379,16644,36611,53255,2.1996515260754625
28404,16654,36685,53339,2.202774108322325
28487,16693,36811,53504,2.2051758222009226
28537,16728,36896,53624,2.205643232902917
28593,16752,36983,53735,2.207676695319962
28679,16800,37077,53877,2.2069642857142857
28711,16820,37122,53942,2.2070154577883474
28716,16824,37128,53952,2.2068473609129815
28745,16858,37177,54035,2.20530312018033
29308,17239,38250,55489,2.2188061952549454
29324,17242,38273,55515,2.219754088852801
29336,17253,38279,55532,2.2186866052280765
29352,17268,38302,55570,2.218091267083623
29419,17301,38392,55693,2.2190624819374603
29436,17305,38407,55712,2.219416353655013
29497,17350,38480,55830,2.2178674351585013
29617,17431,38590,56021,2.213871837530836
29636,17431,38605,56036,2.2147323733578106
29639,17434,38611,56045,2.2146954227371802
29745,17500,38736,56236,2.2134857142857145
29790,17518,38779,56297,2.213665943600868
30487,17880,40312,58192,2.254586129753915
30544,17910,40352,58262,2.2530429927414852
30552,17916,40355,58271,2.2524559053360127
30574,17950,40385,58335,2.2498607242339834
30584,17965,40401,58366,2.248872808238241
30729,18008,40529,58537,2.2506108396268325
30738,18015,40531,58546,2.24984734943103
31539,18280,41183,59463,2.2528993435448577
31544,18286,41186,59472,2.2523241824346494
31554,18291,41203,59494,2.2526379093543274
31666,18370,41352,59722,2.2510615133369622
31926,18578,41835,60413,2.2518570352029283
31956,18598,41874,60472,2.2515324228411657
32360,18829,42611,61440,2.2630516756067767
32518,18924,43190,62114,2.282287042908476
32548,18931,43207,62138,2.2823411335904074
32626,18997,43309,62306,2.2797810180554823
32844,19199,43633,62832,2.2726704515860203
32916,19238,43737,62975,2.273469175589978
34201,19238,43737,62975,2.273469175589978
34221,19248,43759,63007,2.2734310058187863
34374,19248,44251,63499,2.298992103075644
34435,19289,44331,63620,2.298252890248328
34450,19296,44352,63648,2.298507462686567
35987,19756,45495,65251,2.3028447054059527
36005,19765,45520,65285,2.3030609663546673
36075,19818,45595,65413,2.300686244827934
36086,19828,45600,65428,2.299778091587654
36478,20099,46596,66695,2.318324294741032
36741,20233,47054,67287,2.3256066821529187
36752,20236,47073,67309,2.3262008302035975
36830,20256,47170,67426,2.3286927330173777
36897,20280,47284,67564,2.3315581854043392
36943,20316,47322,67638,2.3292971057294745
37920,20901,48791,69692,2.334385914549543
37923,20903,48795,69698,2.3343539204898818
37972,20941,48866,69807,2.333508428441813
37980,20947,48879,69826,2.333460638754953
37990,20953,48887,69840,2.333174247124517
38107,20986,48942,69928,2.332126179357667
38120,20996,48956,69952,2.33168222518575
38166,21010,48993,70003,2.3318895763921943
38198,21020,49004,70024,2.331303520456708
38300,21093,49182,70275,2.3316740150760915
38340,21126,49242,70368,2.33087191138881
38377,21150,49310,70460,2.3314420803782507
38417,21179,49354,70533,2.3303272109164737
38449,21212,49410,70622,2.3293418819536114
38766,21476,50109,71585,2.333255727323524
38856,21525,50168,71693,2.33068524970964
38926,21596,50367,71963,2.332237451379885
38967,21611,50398,72009,2.3320531210957385
38969,21613,50398,72011,2.3318373201314024
41801,22846,53420,76266,2.3382649041407686
41832,22868,53455,76323,2.3375459156900473
41842,22868,53471,76339,2.3382455833479097
41918,22928,53563,76491,2.336139218422889
41942,22934,53569,76503,2.3357896572774046
41960,22939,53574,76513,2.33549849601116
42025,22964,53646,76610,2.336091273297335
42146,23011,53854,76865,2.3403589587588542
42328,23089,54016,77105,2.3394690112174628
43017,23531,55182,78713,2.3450767073222556
43040,23552,55216,78768,2.344429347826087
43045,23557,55234,78791,2.344695844122766
43160,23637,55405,79042,2.3439945847611794
43207,23671,55493,79164,2.344345401546196
43238,23703,55532,79235,2.342825802641016
43251,23723,55556,79279,2.3418623276988577
43280,23743,55579,79322,2.3408583582529587
43527,23858,55819,79677,2.3396345041495517
43639,23923,55965,79888,2.339380512477532
43802,24110,56196,80306,2.330817088345085
43907,24194,56463,80657,2.3337604364718527
43922,24201,56476,80677,2.333622577579439
43945,24205,56495,80700,2.334021896302417
44165,24257,56641,80898,2.335037308818073
